"Date","Price","Open","High","Low","Change %"
"Oct 30, 2017","57.9716","58.0680","58.0807","57.6700","-0.17%"
"Oct 31, 2017","58.3289","57.9716","58.6003","57.9568","0.62%"
"Nov 01, 2017","58.2807","58.3289","58.3992","58.0335","-0.08%"
"Nov 02, 2017","58.1619","58.2807","58.4353","58.0118","-0.20%"
"Nov 03, 2017","59.0800","58.1619","59.2698","58.1618","1.58%"
"Nov 07, 2017","59.3594","59.0800","59.4319","58.3385","0.47%"
"Nov 08, 2017","59.2551","59.3594","59.5736","59.0780","-0.18%"
"Nov 09, 2017","59.2894","59.2551","59.4203","59.1150","0.06%"
"Nov 10, 2017","59.2115","59.2894","59.3513","58.9798","-0.13%"
"Nov 13, 2017","59.3625","59.2115","59.5688","59.0830","0.26%"
"Nov 14, 2017","60.2303","59.3625","60.2413","59.3500","1.46%"
"Nov 15, 2017","60.2027","60.2303","60.4124","60.0320","-0.05%"
"Nov 16, 2017","59.6749","60.2027","60.2150","59.5877","-0.88%"
"Nov 17, 2017","59.0623","59.6749","59.7578","59.0067","-1.03%"
"Nov 20, 2017","59.3469","59.0623","59.5624","59.0623","0.48%"
"Nov 21, 2017","59.1888","59.3469","59.5362","59.1000","-0.27%"
"Nov 22, 2017","58.5001","59.1888","59.1888","58.4488","-1.16%"
"Nov 23, 2017","58.4456","58.5001","58.5283","58.3272","-0.09%"
"Nov 24, 2017","58.3732","58.4456","58.5971","58.2537","-0.12%"
"Nov 27, 2017","58.4853","58.3732","58.5050","58.0566","0.19%"
"Nov 28, 2017","58.3803","58.4853","58.5441","58.2163","-0.18%"
"Nov 29, 2017","58.6144","58.3803","58.7033","58.2550","0.40%"
"Nov 30, 2017","58.4380","58.6144","58.7343","58.3637","-0.30%"
"Dec 01, 2017","58.8960","58.4380","59.1325","58.4380","0.78%"
"Dec 04, 2017","58.8003","58.8960","59.1027","58.6600","-0.16%"
"Dec 05, 2017","58.7367","58.8003","58.8250","58.6023","-0.11%"
"Dec 06, 2017","59.2180","58.7367","59.2446","58.7367","0.82%"
"Dec 07, 2017","59.1867","59.2180","59.3672","59.0798","-0.05%"
"Dec 08, 2017","59.1639","59.1867","59.3811","59.0525","-0.04%"
"Dec 11, 2017","58.9983","59.1639","59.3194","58.8852","-0.28%"
"Dec 12, 2017","59.2960","58.9983","59.2968","58.7872","0.50%"
"Dec 13, 2017","58.6190","59.2960","59.2960","58.5586","-1.14%"
"Dec 14, 2017","58.7556","58.6190","58.9110","58.5582","0.23%"
"Dec 15, 2017","58.8009","58.7556","59.0217","58.7269","0.08%"
"Dec 18, 2017","58.6635","58.8009","58.8009","58.5652","-0.23%"
"Dec 19, 2017","58.7743","58.6635","58.8440","58.5448","0.19%"
"Dec 20, 2017","58.7035","58.7743","58.7757","58.5970","-0.12%"
