<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26211RMFS1,D,04/01/16,00:00:00,87.3998000,87.3998000,87.3998000,87.3998000,5
SU26211RMFS1,D,05/01/16,00:00:00,87.6998000,87.6999000,87.0002000,87.6996000,12
SU26211RMFS1,D,06/01/16,00:00:00,87.6999000,87.6999000,87.6999000,87.6999000,1
SU26211RMFS1,D,11/01/16,00:00:00,87.3498000,87.3999000,85.2000000,85.5007000,151089
SU26211RMFS1,D,12/01/16,00:00:00,85.0000000,85.2499000,83.8760000,84.1501000,6337
SU26211RMFS1,D,13/01/16,00:00:00,84.7399000,84.7400000,84.0503000,84.3005000,20024
SU26211RMFS1,D,14/01/16,00:00:00,83.8762000,84.8498000,83.7953000,84.2493000,100138
SU26211RMFS1,D,15/01/16,00:00:00,84.0000000,84.5998000,83.1001000,83.5399000,71868
SU26211RMFS1,D,18/01/16,00:00:00,83.5999000,83.5999000,82.6001000,83.4498000,181
SU26211RMFS1,D,19/01/16,00:00:00,83.5195000,84.4900000,83.5195000,83.8600000,3198022
SU26211RMFS1,D,20/01/16,00:00:00,83.5231000,83.6101000,82.3000000,82.4000000,3405447
SU26211RMFS1,D,21/01/16,00:00:00,82.2951000,82.5999000,81.1001000,82.5998000,128623
SU26211RMFS1,D,22/01/16,00:00:00,83.1780000,84.0000000,82.4503000,84.0000000,64882
SU26211RMFS1,D,25/01/16,00:00:00,83.6501000,84.2000000,83.5001000,83.5107000,829941
SU26211RMFS1,D,26/01/16,00:00:00,83.6627000,84.3500000,82.9501000,84.3500000,60158
SU26211RMFS1,D,27/01/16,00:00:00,84.3501000,84.8000000,84.3500000,84.8000000,12931
SU26211RMFS1,D,28/01/16,00:00:00,84.5500000,85.9245000,84.5500000,85.3700000,67
SU26211RMFS1,D,29/01/16,00:00:00,85.5002000,86.2999000,85.3500000,85.4899000,11386
SU26211RMFS1,D,01/02/16,00:00:00,85.3582000,85.4400000,84.5002000,84.5002000,11963
SU26211RMFS1,D,02/02/16,00:00:00,84.5945000,84.8999000,84.0305000,84.0600000,60076
SU26211RMFS1,D,03/02/16,00:00:00,84.6187000,85.0400000,84.2500000,84.7500000,98731
SU26211RMFS1,D,04/02/16,00:00:00,85.0699000,85.6000000,84.9000000,85.4499000,3876049
SU26211RMFS1,D,05/02/16,00:00:00,85.1222000,85.2949000,84.6501000,85.2949000,690
SU26211RMFS1,D,08/02/16,00:00:00,85.0502000,85.1000000,84.7768000,84.7768000,77565
SU26211RMFS1,D,09/02/16,00:00:00,84.7722000,85.0000000,84.4042000,84.4898000,25309
SU26211RMFS1,D,10/02/16,00:00:00,84.4475000,84.8945000,84.1600000,84.8945000,75392
SU26211RMFS1,D,11/02/16,00:00:00,84.8990000,84.9500000,84.1501000,84.4000000,200
SU26211RMFS1,D,12/02/16,00:00:00,84.7199000,84.9910000,84.7198000,84.9910000,90
SU26211RMFS1,D,15/02/16,00:00:00,84.9208000,85.5130000,84.9208000,85.4000000,324
SU26211RMFS1,D,16/02/16,00:00:00,85.4400000,85.7360000,84.7251000,84.7251000,30675
SU26211RMFS1,D,17/02/16,00:00:00,84.9250000,85.4999000,84.7086000,85.4999000,109
SU26211RMFS1,D,18/02/16,00:00:00,85.4029000,86.2500000,85.4029000,86.2500000,1140
SU26211RMFS1,D,19/02/16,00:00:00,86.3092000,86.4984000,86.2900000,86.2900000,104
SU26211RMFS1,D,20/02/16,00:00:00,86.5200000,86.5200000,85.9096000,86.5200000,37
SU26211RMFS1,D,24/02/16,00:00:00,86.5528000,86.6364000,86.0145000,86.2600000,51945
SU26211RMFS1,D,25/02/16,00:00:00,86.5921000,87.5000000,86.5921000,87.5000000,75294
SU26211RMFS1,D,26/02/16,00:00:00,87.2003000,87.9000000,87.2003000,87.6000000,6020
SU26211RMFS1,D,29/02/16,00:00:00,87.9899000,87.9899000,87.3000000,87.7500000,45708
SU26211RMFS1,D,01/03/16,00:00:00,88.3650000,89.6000000,87.9999000,89.0001000,176101
SU26211RMFS1,D,02/03/16,00:00:00,89.2000000,89.2000000,89.1398000,89.1398000,6
SU26211RMFS1,D,03/03/16,00:00:00,89.3997000,89.3997000,89.2000000,89.3000000,51347
SU26211RMFS1,D,04/03/16,00:00:00,89.6800000,89.8500000,89.4000000,89.7499000,794
SU26211RMFS1,D,07/03/16,00:00:00,89.5501000,89.5501000,89.5501000,89.5501000,2
SU26211RMFS1,D,09/03/16,00:00:00,89.9850000,90.2000000,89.4051000,89.7199000,109931
SU26211RMFS1,D,10/03/16,00:00:00,90.0239000,90.0239000,89.3000000,89.3000000,108348
SU26211RMFS1,D,11/03/16,00:00:00,89.8996000,89.8996000,89.0001000,89.2000000,26104
SU26211RMFS1,D,14/03/16,00:00:00,89.2951000,89.3100000,88.6100000,88.6100000,55424
SU26211RMFS1,D,15/03/16,00:00:00,88.8600000,88.9999000,88.2000000,88.4500000,383229
SU26211RMFS1,D,16/03/16,00:00:00,88.7976000,88.8500000,88.3700000,88.8500000,45477
SU26211RMFS1,D,17/03/16,00:00:00,88.8956000,90.2000000,88.8956000,90.0000000,31681
SU26211RMFS1,D,18/03/16,00:00:00,90.0150000,90.7500000,90.0001000,90.6500000,28837
SU26211RMFS1,D,21/03/16,00:00:00,90.3200000,90.7000000,90.3200000,90.7000000,26256
SU26211RMFS1,D,22/03/16,00:00:00,90.5200000,90.8696000,90.4200000,90.6010000,162419
SU26211RMFS1,D,23/03/16,00:00:00,90.4700000,90.5000000,89.2000000,89.8800000,25731
